Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
WP_096679748.1	GCA_002368315.1	Fischerella sp. NIES-4106	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Hapalosiphonaceae; Fischerella	Genome Sequencing Project of the NIES cyanobacteria collection 2016	sample_name	Fischerella sp. NIES-4106	Fischerella sp. NIES-4106	Not Available	MIGS.ba	Toyohashi University of Technology	MIGS.ba.6.0	2017-06-01 0:00:00	Chromosome	RefSeq annotation failed,unverified source organism	Ilumina MiSeq	2900943	40	102.0x	7250844	GCA_002368315.1	Fischerella sp. NIES-4106	2005456	7.250844	cd05931-cd17652-cd19531	A_NRPS_CmdD_like-FAAL-LCL_NRPS-like	4	#000000
WP_190450728.1	GCF_014695675.1	Trichocoleus sp. FACHB-69	Bacteria; Cyanobacteriota; Cyanophyceae; Leptolyngbyales; Trichocoleusaceae; Trichocoleus	Genome sequencing and assembly of 163 cyanobacterial strains	strain	FACHB-69	Microbe sample from Trichocoleus sp. FACHB-69	Not Available	Microbe, viral or environmental	South China Normal University	Microbe.1.0	2020-09-18 0:00:00	Contig	Not Available	Illumina HiSeq	2936311	45.5	50.0x	6465818	GCF_014695675.1	Trichocoleus sp. FACHB-69	2692874	6.465818	cd05931	FAAL	1	#FFFFFF
WP_169219452.1	GCF_012912105.1	Brasilonema sp. UFV-L1	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Scytonemataceae; Brasilonema	Brasilonema spp. genome sequencing	strain	UFV-L1	Microbe sample from Brasilonema sp. UFV-L1	Not Available	Microbe, viral or environmental	Sao Paulo State University (UNESP)	Microbe.1.0	2019-07-01 0:50:57	Scaffold	Not Available	Illumina HiSeq	3487205	42	17.0x	8310715	GCF_012912105.1	Brasilonema sp. UFV-L1	2234130	8.310715	cd05930-cd05931-cd17646-cd19531	A_NRPS-A_NRPS_AB3403-like-FAAL-LCL_NRPS-like	6	#000000
MBW4629448.1	GCA_019359625.1	Brasilonema octagenarum HA4186-MV1	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Scytonemataceae; Brasilonema	Cyanobacteria Metagenome Assembled Genomes extracted from total metagenome of mixed cultures	collection_date	7/20/2009	MIMAG Metagenome-assembled Genome sample from Brasilonema octagenarum HA4186-MV1	Not Available	MIMAG.soil	University of California, Riverside	MIMAG.soil.6.0	2021-07-28 18:39:23	Contig	derived from metagenome	Illumina MiSeq	3432243	42.5	138.0x	8066605	GCA_019359625.1	Brasilonema octagenarum HA4186-MV1	1049025	8.066605	cd05930-cd05931-cd17646-cd19531	A_NRPS-A_NRPS_AB3403-like-FAAL-LCL_NRPS-like	6	#000000
ARV60175.1	GCA_002163975.1	Nostocales cyanobacterium HT-58-2	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales	Nostocales cyanobacterium HT-58-2 Genome sequencing	strain	HT-58-2	Microbe sample from Nostocales cyanobacterium HT-58-2	Not Available	Microbe, viral or environmental	North Carolina State University	Microbe.1.0	2017-06-01 0:50:57	Complete Genome	genus undefined	PacBio; Illumina MiSeq	3362878	42.5	1140.0x	7899568	GCA_002163975.1	Nostocales cyanobacterium HT-58-2	1940762	7.899568	cd05931-cd19531	FAAL-LCL_NRPS-like	3	#000000
WP_017317666.1	GCF_000315565.1	Mastigocladopsis repens	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Symphyonemataceae; Mastigocladopsis	Mastigocladopsis repens PCC 10914 Genome sequencing and assembly	biotic_relationship	Missing	MIGS Cultured Bacterial/Archaeal sample from Mastigocladopsis repens PCC 10914	Not Available	MIGS.ba	Joint Genome Institute	MIGS.ba.6.0	2013-07-19 15:21:55	Scaffold	Not Available	Illumina HiSeq 2000	2813647	43.5	30.0x	6465655	GCF_000315565.1	Mastigocladopsis repens PCC 10914	221288	6.465655	cd05931-cd19531	FAAL-LCL_NRPS-like	3	#000000
MUG94902.1	GCA_009725235.1	Scytonema sp. UIC 10036	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Scytonemataceae; Scytonema	Scytonema sp. UIC 10036 Genome sequencing and assembly	strain	UIC 10036	MIGS Cultured Bacterial/Archaeal sample from Scytonema sp. UIC 10036	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.water	University of Illinois at Chicago	MIGS.ba.water.6.0	2019-12-09 18:38:13	Contig	Not Available	Illumina; PacBio	5840548	41.5	50.0x	14051789	GCA_009725235.1	Scytonema sp. UIC 10036	2304196	14.051789	cd05931-cd12116-cd19531	A_NRPS_Ta1_like-FAAL-LCL_NRPS-like	4	#000000
WP_229462789.1	GCA_020829665.1	Nostoc sp. CHAB 5824	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Chinese Nostoc sampling and genome assembly	strain	CHAB 5824	Microbe sample from Nostoc sp. CHAB 5824	Not Available	Microbe, viral or environmental	institute of hydrobiology	Microbe.1.0	2021-09-24 0:00:00	Scaffold	contaminated	Illumina HiSeq	3428843	42.5	100.0x	8112251	GCA_020829665.1	Nostoc sp. CHAB 5824	2780402	8.112251	cd05931-cd12115-cd19531	A_NRPS_Sfm_like-FAAL-LCL_NRPS-like	4	#000000
WP_185580337.1	GCF_014222285.1	unclassified Nostoc	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Nostoc sp. UCD121 Genome sequencing and assembly	strain	UCD121	Microbe sample from Nostoc sp. UCD121	Not Available	Microbe, viral or environmental	University of Missouri-St. Louis	Microbe.1.0	2020-07-01 0:53:06	Contig	Not Available	Illumina MiSeq	3517236	41.5	15.0x	8499034	GCF_014222285.1	Nostoc sp. UCD121	2681305	8.499034	cd05931-cd12115-cd19531	A_NRPS_Sfm_like-FAAL-LCL_NRPS-like	4	#000000
MBW4667893.1	GCA_019359595.1	Cyanomargarita calcarea GSE-NOS-MK-12-04C	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Cyanomargaritaceae; Cyanomargarita	Cyanobacteria Metagenome Assembled Genomes extracted from total metagenome of mixed cultures	collection_date	12/30/2007	MIMAG Metagenome-assembled Genome sample from Cyanomargarita calcarea GSE-NOS-MK-12-04C	Not Available	MIMAG.soil	University of California, Riverside	MIMAG.soil.6.0	2021-07-28 18:39:23	Contig	derived from metagenome	Illumina MiSeq	3283348	41.5	67.6x	7921124	GCA_019359595.1	Cyanomargarita calcarea GSE-NOS-MK-12-04C	2839659	7.921124	cd00833-cd05931-cd08955	FAAL-KR_2_FAS_SDR_x-PKS	3	#000000
AFY58527.1	GCA_000316665.1	Rivularia sp. PCC 7116	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Rivulariaceae; Rivularia	Rivularia sp. PCC 7116 genome sequencing	env_package	missing	MIGS Cultured Bacterial/Archaeal sample from Rivularia sp. PCC 7116	Not Available	MIGS.ba	Joint Genome Institute	MIGS.ba.6.0	2013-07-12 11:02:49	Complete Genome	Not Available	454/Illumina	3276050	37.5	30.0x	8728773	GCA_000316665.1	Rivularia sp. PCC 7116	373994	8.728773	cd05931	FAAL	1	#FFFFFF
BGC0002079	No Genome	uncultured bacterium [taxonomy]																						cd05931	FAAL	1	#FFFFFF
WP_127081078.1	GCF_007830875.1	Dulcicalothrix desertica	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Dulcicalothrix	Dulcicalothrix desertica PCC 7102 Genome sequencing and assembly	strain	PCC 7102	Calothrix desertica PCC 7102	DOE Joint Genome Institute	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2016-08-25 0:00:00	Scaffold	Not Available	Illumina GAIIx	4396802	38.5	141.0x	11416284	GCF_007830875.1	Dulcicalothrix desertica PCC 7102	232991	11.416284	cd05235-cd05931	FAAL-SDR_e1	2	#000000
WP_012596905.1	GCF_000021805.1	Rippkaea orientalis	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Rippkaea	Nitrogen-fixing cyanobacterium	strain	PCC 8801	Generic sample from Cyanothece sp. PCC 8801	DOE Joint Genome Institute	Generic	Joint Genome Institute, U.S. Department of Energy	Generic.1.0	2008-06-13 0:00:00	Complete Genome	Not Available	Not Available	1903484	40	Not Available	4787694	GCF_000021805.1	Rippkaea orientalis PCC 8801	41431	4.787694	cd05931	FAAL	1	#FFFFFF
WP_096684230.1	GCA_002368415.1	unclassified Calothrix	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Calothrix	Genome Sequencing Project of the NIES cyanobacteria collection 2016	sample_name	Calothrix sp. NIES-4105	Calothrix sp. NIES-4105	Not Available	MIGS.ba	Toyohashi University of Technology	MIGS.ba.6.0	2017-06-01 0:00:00	Chromosome	RefSeq annotation failed,unverified source organism	Ilumina MiSeq	4692953	39	51.0x	12037678	GCA_002368415.1	Calothrix sp. NIES-4105	2005463	12.037678	cd05931	FAAL	1	#FFFFFF
AQA28568.1	No Genome	Nostoc sp. UIC 10110	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
BGC0000963	No Genome	Streptomyces verticillus	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces																					cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
WP_089089669.1	GCF_963874825.1	Nodularia sp. NIES-3585	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Aphanizomenonaceae; Nodularia	Transmission and hedge balance of virus-encoded cholera toxin genes in global habitats	ENA-CHECKLIST	ERC000011	GCF_002218065.1	SRA	Generic	EBI	Generic.1.0	2024-02-29 0:00:00	Scaffold	Not Available	not collected	2370849	41	95.0x	5773538	GCF_963874825.1	Nodularia sp. NIES-3585	1973477	5.773538	cd05931	FAAL	1	#FFFFFF
MBD2534126.1	GCA_014698065.1	Nostoc flagelliforme FACHB-838	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Genome sequencing and assembly of 163 cyanobacterial strains	strain	FACHB-838	Microbe sample from Nostoc flagelliforme FACHB-838	Not Available	Microbe, viral or environmental	South China Normal University	Microbe.1.0	2020-09-18 0:00:00	Contig	Not Available	Illumina HiSeq	4507467	41.5	50.0x	10844745	GCA_014698065.1	Nostoc flagelliforme FACHB-838	2692904	10.844745	cd05931	FAAL	1	#FFFFFF
WP_012409516.1	GCF_000020025.1	Nostoc punctiforme	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Nitrogen-fixing cyanobacterium	strain	ATCC 29133; PCC 73102	Sample from Nostoc punctiforme PCC 73102	Not Available	Generic	NCBI	Generic.1.0	2014-01-28 0:00:00	Complete Genome	Not Available	Not Available	3746385	41.5	Not Available	9059191	GCF_000020025.1	Nostoc punctiforme PCC 73102	63737	9.059191	cd00610-cd00833-cd05930-cd05931-cd17652-cd19531-cd19534	A_NRPS-A_NRPS_CmdD_like-E_NRPS-FAAL-LCL_NRPS-like-OAT_like-PKS	8	#000000
WP_190920141.1	GCF_014698795.1	Nostoc sp. FACHB-892	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Genome sequencing and assembly of 163 cyanobacterial strains	strain	FACHB-892	Microbe sample from Nostoc sp. FACHB-892	Not Available	Microbe, viral or environmental	South China Normal University	Microbe.1.0	2020-09-18 0:00:00	Contig	Not Available	Illumina HiSeq	3743086	41.5	50.0x	9033956	GCF_014698795.1	Nostoc sp. FACHB-892	2692843	9.033956	cd05931	FAAL	1	#FFFFFF
WP_190959640.1	GCF_014698835.1	Nostoc	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae	Genome sequencing and assembly of 163 cyanobacterial strains	strain	FACHB-159	Microbe sample from Nostoc paludosum FACHB-159	Not Available	Microbe, viral or environmental	South China Normal University	Microbe.1.0	2020-09-18 0:00:00	Contig	Not Available	Illumina HiSeq	3817260	41	50.0x	9270090	GCF_014698835.1	Nostoc paludosum FACHB-159	2692908	9.27009	cd00610-cd00833-cd05930-cd05931-cd19531-cd19534	A_NRPS-E_NRPS-FAAL-LCL_NRPS-like-OAT_like-PKS	7	#000000
WP_208349674.1	GCF_017591595.2	Aetokthonos hydrillicola	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Hapalosiphonaceae; Aetokthonos	Aetokthonos hydrillicola CCALA 1050 Genome sequencing	strain	Thurmond2011	Microbe sample from Aetokthonos hydrillicola Thurmond2011	Not Available	Microbe, viral or environmental	The Czech Academy of Sciences, Biology Centre	Microbe.1.0	2021-03-01 0:51:10	Scaffold	Not Available	Illumina MiSeq; Oxford Nanopore MinION	4021868	41	30.0x	9837013	GCF_017591595.2	Aetokthonos hydrillicola Thurmond2011	2712845	9.837013	cd00833-cd05931-cd19531	FAAL-LCL_NRPS-like-PKS	4	#000000
MBW4505571.1	GCA_019359035.1	Scytonematopsis contorta HA4267-MV1	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Scytonemataceae; Scytonematopsis	Cyanobacteria Metagenome Assembled Genomes extracted from total metagenome of mixed cultures	collection_date	7/25/2009	MIMAG Metagenome-assembled Genome sample from Scytonematopsis contorta HA4267-MV1	Not Available	MIMAG.soil	University of California, Riverside	MIMAG.soil.6.0	2021-07-28 18:39:23	Contig	derived from metagenome	Illumina MiSeq	4095134	38.5	195.0x	10657584	GCA_019359035.1	Scytonematopsis contorta HA4267-MV1	1049028	10.657584	cd05931	FAAL	1	#FFFFFF
RCJ32489.1	GCA_003326215.1	Nostoc minutum NIES-26	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Nostoc minutum NIES-26 from xenic culture. Genome sequencing and assembly	collected_by	Ishikawa, Masako	Microbe sample from Nostoc minutum NIES-26	Not Available	Microbe, viral or environmental	Okinawa Institute of Science and Technology	Microbe.1.0	2016-05-05 0:00:00	Contig	derived from metagenome	Illumina MiSeq	4117038	42	269.0x	9839803	GCA_003326215.1	Nostoc minutum NIES-26	1844469	9.839803	cd00833-cd05931-cd08953	FAAL-KR_2_SDR_x-PKS	3	#000000
WP_015213479.1	GCF_023701635.1	Anabaena	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae	Anabaena sp. CCAP 1446/1C isolate:PCC 7938 Genome sequencing and assembly	strain	PCC 7938	Culture Anabaena sp. PCC 7938	Not Available	Microbe, viral or environmental	Universite de Montreal	Microbe.1.0	2022-06-07 0:00:00	Contig	Not Available	Illumina NovaSeq	2688496	39	250.9x	6932208	GCF_023701635.1	Anabaena sp. CCAP 1446/1C	1296340	6.932208	cd00833-cd05931-cd08953	FAAL-KR_2_SDR_x-PKS	3	#000000
WP_214438642.1	GCF_016056295.1	Atlanticothrix silvestris	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Atlanticothrix	Genome characterization of novel nostocacean cyanobacteria from Brazilian environments	strain	CENA357	Microbe sample from Atlanticothrix silvestris CENA357	Not Available	Microbe, viral or environmental	University of Sao Paulo	Microbe.1.0	2020-12-17 0:00:00	Scaffold	Not Available	Illumina MiSeq	2656177	40.5	17.0x	6527020	GCF_016056295.1	Atlanticothrix silvestris CENA357	1725252	6.52702	cd00833-cd05931-cd08953	FAAL-KR_2_SDR_x-PKS	3	#000000
WP_223270081.1	GCF_002245975.1	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc; Nostoc cyanobionts	Nostoc sp. 213 'Peltigera membranacea cyanobiont' Genome sequencing and assembly	altitude	92 m	Nostoc sp. 213 'Peltigera membranacea cyanobiont'	Not Available	Microbe, viral or environmental	University of Iceland	Microbe.1.0	2017-06-04 0:00:00	Scaffold	Not Available	Illumina MiSeq	3449480	41.5	25.0x	8331440	GCF_002245975.1	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	2014530	8.33144	cd00610-cd00833-cd05931-cd19531	FAAL-LCL_NRPS-like-OAT_like-PKS	5	#000000
WP_193990783.1	GCF_015207065.1	Leptolyngbya ectocarpi	Bacteria; Cyanobacteriota; Cyanophyceae; Leptolyngbyales; Leptolyngbyaceae; Leptolyngbya group; Leptolyngbya	LEGE strains genome sequencing project	strain	LEGE 11479	Microbe sample from Leptolyngbya cf. ectocarpi LEGE 11479	Not Available	Microbe, viral or environmental	CIIMAR	Microbe.1.0	2020-10-10 0:00:00	Contig	Not Available	Illumina	3343528	49.5	30.0x	6774485	GCF_015207065.1	Leptolyngbya cf. ectocarpi LEGE 11479	1828722	6.774485	cd05931	FAAL	1	#FFFFFF
BAZ09586.1	GCA_002368415.1	Calothrix sp. NIES-4071	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Calothrix	Genome Sequencing Project of the NIES cyanobacteria collection 2016	sample_name	Calothrix sp. NIES-4105	Calothrix sp. NIES-4105	Not Available	MIGS.ba	Toyohashi University of Technology	MIGS.ba.6.0	2017-06-01 0:00:00	Chromosome	RefSeq annotation failed,unverified source organism	Ilumina MiSeq	4692953	39	51.0x	12037678	GCA_002368415.1	Calothrix sp. NIES-4105	2005463	12.037678	cd05931	FAAL	1	#FFFFFF
WP_083468835.1	GCF_001298445.1	Nostoc piscinale	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Nostoc piscinale CENA21 Genome sequencing and assembly	strain	CENA21	Nostoc piscinale strain CENA21 From Solimoes River Floodplain Sediments, Amazon, Brazil	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.sediment	UCSD	MIGS.ba.sediment.6.0	2015-06-30 10:04:15	Chromosome	Not Available	IonTorrent; SOLiD	2876174	40.5	102.0x	7094556	GCF_001298445.1	Nostoc piscinale CENA21	224013	7.094556	cd05931	FAAL	1	#FFFFFF
WP_196516294.1	GCF_015714725.1	Nostoc sp. WHI	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Viral footprints in the cold biosphere revealed by genomic analysis of High Arctic Nostoc from historical and modern samples	strain	WHI	Microbe sample from Nostoc sp. WHI	Not Available	Microbe, viral or environmental	Universite Laval	Microbe.1.0	2020-10-01 0:51:43	Contig	Not Available	Illumina HiSeq	3560802	41.5	100.0x	8562728	GCF_015714725.1	Nostoc sp. WHI	2650611	8.562728	cd05931	FAAL	1	#FFFFFF
WP_114082663.1	GCF_003326245.1	Nostoc sp. ATCC 53789	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc	Nostoc sp. ATCC 53789 Genome sequencing and assembly	geo_loc_name	United Kingdom: Scotland, Arron Island	Microbe sample from Nostoc sp. ATCC 53789	Not Available	Microbe, viral or environmental	Okinawa Institute of Science and Technology	Microbe.1.0	2016-04-26 2:20:02	Contig	Not Available	Illumina MiSeq	3533116	41.5	340.0x	8536834	GCF_003326245.1	Nostoc sp. ATCC 53789	76335	8.536834	cd05931	FAAL	1	#FFFFFF
REJ55143.1	GCA_003388685.1	Microcystis aeruginosa TA09	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis	Microcystis dominated communities	geo_loc_name	China: Jiangsu	Microbe sample from Microcystis aeruginosa TA09	Not Available	Microbe, viral or environmental	Institute of Hydrobiology, Chinese Academy of Sciences	Microbe.1.0	2018-07-27 0:00:00	Scaffold	derived from metagenome	Illumina GAIIx	2092401	42.5	345.0x	5012749	GCA_003388685.1	Microcystis aeruginosa TA09	2060472	5.012749	cd00567-cd05931	ACAD-FAAL	2	#000000
WP_071818212.1	GCF_000017845.1	Crocosphaera subtropica	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Crocosphaera	Nitrogen-fixing cyanobacterium	strain	ATCC 51142	Sample from Crocosphaera subtropica ATCC 51142	Not Available	Generic	NCBI	Generic.1.0	2014-01-30 0:00:00	Complete Genome	Not Available	Not Available	2071773	38	Not Available	5460377	GCF_000017845.1	Crocosphaera subtropica ATCC 51142	43989	5.460377	cd05931	FAAL	1	#FFFFFF
WP_236148024.1	GCF_000828085.3		Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales;																					cd05931	FAAL	1	#FFFFFF
PPT08501.1	GCA_002286845.1	Geitlerinema sp. FC II	Bacteria; Cyanobacteriota; Cyanophyceae; Geitlerinematales; Geitlerinemataceae; Geitlerinema	Geitlerinema sp. FC II strain:FC II Genome sequencing and assembly	strain	FC II	Microbe sample from Geitlerinema sp. FC II	Not Available	Microbe, viral or environmental	Reliance Industries Limited	Microbe.1.0	2017-08-21 0:00:00	Scaffold	contaminated,fragmented assembly,low quality sequence,unverified source organism	Illumina HiSeq; Illumina MiSeq	3486768	51.5	262.0x	6788152	GCA_002286845.1	Geitlerinema sp. FC II	2028210	6.788152	cd05931-cd06454	FAAL-KBL_like	2	#000000
UCJ13788.1	GCA_020386575.1	Phormidium sp. PBR-2020	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Oscillatoriales; Oscillatoriaceae; Phormidium	Soda lake innocuated bioreactors	collection_date	3/19/2020	MIMAG Metagenome-assembled Genome sample from Phormidium	Not Available	MIMAG.microbial	University of Calgary	MIMAG.microbial.6.0	2021-10-09 18:39:36	Complete Genome	derived from metagenome,unverified source organism	Oxford Nanopore MinION; Illumina MiSeq	2585103	51.5	600.0x	5000054	GCA_020386575.1	Phormidium sp. PBR-2020	2839084	5.000054	cd05931-cd06454	FAAL-KBL_like	2	#000000
NEN92720.1	GCF_010672585.1	Okeania sp. SIO3H1	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Oscillatoriales; Oscillatoriaceae; Okeania	Cyanobiome marine turf metagenomic assembly	isolate	SIO1I7	SIO1I7	Not Available	MIMAG.microbial	UCSD	MIMAG.microbial.6.0	2019-09-20 0:00:00	Scaffold	derived from metagenome	Illumina HiSeq	3467474	36.5	30.0x	9479399	GCF_010672585.1	Okeania sp. SIO1I7	2607772	9.479399	cd05931-cd06454	FAAL-KBL_like	2	#000000
NEO48620.1	GCA_010672045.1	Moorena sp. SIO4A3	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Oscillatoriales; Oscillatoriaceae; Moorena	Cyanobiome marine turf metagenomic assembly	isolate	SIO4A3	SIO4A3	Not Available	MIMAG.microbial	UCSD	MIMAG.microbial.6.0	2019-09-20 0:00:00	Scaffold	annotation fails MAG completeness check,derived from metagenome	Illumina HiSeq	4273762	43.5	30.0x	9849590	GCA_010672045.1	Moorena sp. SIO4A3	2607836	9.84959	cd05931	FAAL	1	#FFFFFF
